Sr_No,Location_Coordinates,Hospital_Name,Address_Original_First_Line,State,District,Pincode,Telephone,Website
25,"14.6818877, 77.6005911",Sri Sai Balaji Hospital,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross",Andhra Pradesh,Anantapur,515001,0,0
26,"13.6340453, 79.4157431",Sri Sai Kurpa Nursing Home,"10/368, Sarojini Road",Andhra Pradesh,Anantapur,515001,08554    274564,0
27,"14.6818877, 77.6005911",Sri Sai Venkateshwara Surgical Clinic,Anantapur,Andhra Pradesh,Anantapur,515001,0,0
28,"14.9093514, 78.0060388",Sudhir Surgical Clinic,Hospital Road,Andhra Pradesh,Anantapur,515001,220092,0
29,"14.6755437, 77.6036802",Suma Eye Clinic,"12-2-870,1St Cross,Sai Nagar",Andhra Pradesh,Anantapur,515001,0,0
30,"14.6755437, 77.6036802",Swetha Ent Hospital,"#12/350-A,1St Cross ,Sai Nagar",Andhra Pradesh,Anantapur,515001,0,0
31,,Vaatsalya Hospital(Ananthapur),"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Andhra Pradesh,Anantapur,515001,277077,0
32,"19.0627033, 72.9297396",Varun Children's Hospital,"D. No.14/224, Kamala Nagar",Andhra Pradesh,Anantapur,515001,0,0
33,"14.6818877, 77.6005911",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),"7/201, Court Road",Andhra Pradesh,Anantapur,515001,0,0
34,"14.6607456, 77.6085681",Vijaya Nursing Home,Navodaya Colony,Andhra Pradesh,Anantapur,515001,220912,0
35,,Divyasree Hospital,Adimurthy Nagar Guild Of Service Road,Andhra Pradesh,Anantapur,515002,08554  274322,0
36,"13.0433764, 80.1622367",Mamatha Nursing Home,"12-2-865, 1St Cross, Sai Nagar",Andhra Pradesh,Anantapur,515004,08554  275152,0
37,"14.6735546, 77.6081894",Anantapuram Praja Vaidyasala,"28-639-1, Behind Sangamesh Funtion Hall",Andhra Pradesh,Anantapur,515005,0,0
38,"14.6818877, 77.6005911",Balaji Nursing Home,M.F. Road,Andhra Pradesh,Anantapur,515201,0,0
39,"14.6818877, 77.6005911",Dr B V Syamala Ratnam Hospiatal,"Opposite R.T.C Bus Stand, Hindupur (Po)",Andhra Pradesh,Anantapur,515201,0,0
40,"14.178135, 77.2728241",Girish Multispeciality Hospital,"#18-1-167, M F Road, Hindupur",Andhra Pradesh,Anantapur,515201,0,0
41,"13.8358978, 77.5046101",Shilpa Hospital,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur",Andhra Pradesh,Anantapur,515201,08556 220728,0
42,"13.8185378, 77.4988753",Sreenivasa Nursing Home,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Andhra Pradesh,Anantapur,515201,0,0
43,"13.8371751, 77.4878898",Teja Nursing Home,R.P and G.T Road Hindupur,Andhra Pradesh,Anantapur,515201,0,0
44,"14.910003, 78.0005407",Sharada Nursing Home and Falvia P Reddy Diagnostic,"1/531A-3, East Palem, C B Road, Tadaptri",Andhra Pradesh,Anantapur,515411,0,0
45,"14.9070274, 78.0092703",Sri Kanchani Hospital,"C.B Road, Tadpatri",Andhra Pradesh,Anantapur,515411,0,0
46,,Sri Veja Hospital,"14/10-3, Bukkapatnam Street,",Andhra Pradesh,Anantapur,515411,0,0
47,,Azad Diabetic Centre,"Near Andhra Bank, Byepass Road , Kadiri",Andhra Pradesh,Anantapur,515591,0,0
48,"14.4137447, 77.7126189",Devi Nursing Home,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram",Andhra Pradesh,Anantapur,515671,0,0
49,"14.4068919, 77.7125679",Spandana Hospital,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Andhra Pradesh,Anantapur,515671,08559  225919,0
50,"15.1622611, 77.3826845",Preethi Nursing Home,"Thilak Nagar, Guntakal",Andhra Pradesh,Anantapur,515801,0,0
51,,Babu Nursing Home - Chittoor,"2-1254/1 , Officecers Line, Kongareddipalli",Andhra Pradesh,Chittoor,517001,229940/200345,0
52,,Dr. Agarwals Eye Hospital Ltd.,"22-339/2, Opposite Sbi Colony, Kongareddy Patte",Andhra Pradesh,Chittoor,517001,0,0
53,"13.217176, 79.1003289",Dr. Ramalakshmi Nursing Home,"No.17-433, Lakshmi Complex, Sundarayyar Street",Andhra Pradesh,Chittoor,517001,0,0
54,"13.217176, 79.1003289",Dr. V. K. R. Nursing Home and Scan Centre,"No. 20-142/1, Near Raghava Theatre, Naidu Building",Andhra Pradesh,Chittoor,517001,0,0
55,"28.6481837, 77.3709431",Lakshmi Hospital,"D.No:17-284,,T.V.Naidu St",Andhra Pradesh,Chittoor,517001,0,0
56,,Ravi Nursing Home - Chitoor,2-55/1 Municipal Office Road Near New Rtc Bus Stand,Andhra Pradesh,Chittoor,517001,232235,0
57,"39.5988355, -77.932359",S.M.Clinic,"# 2-1250, Officers Lane",Andhra Pradesh,Chittoor,517001,0,0
58,"13.217176, 79.1003289",Sreelatha Modern Eye Hospital And Research Centre,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office",Andhra Pradesh,Chittoor,517001,"08577    222121, 226660,",0
59,"13.65, 78.933333",Sujatha Nursing Home,"#2-1090, Padmavathi Nagar, Piler",Andhra Pradesh,Chittoor,517001,0,0
60,,Apollo Hospitals Aragonda,Aragonda Thavanampalle Mandal,Andhra Pradesh,Chittoor,517129,"08573  283220, 283221",0
61,"13.36592, 78.5750141",Balaji Hospital,Opp:Tn Petrol Bunk Punganur Punganur,Andhra Pradesh,Chittoor,517247,08581    252867,0
62,"13.36592, 78.5750141",Vijaya Nursing Home,Gokul Theater Road Punganur Punganur,Andhra Pradesh,Chittoor,517247,08581    253129,0
63,"13.5508703, 78.50597",Balaji Multi Speciality Hospital,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle",Andhra Pradesh,Chittoor,517325,08571  227799,0
64,"13.5603491, 78.5036065",Bhavya Child Care Center,Near Rtc Bus Stand Chittoor Madanapalli,Andhra Pradesh,Chittoor,517325,08571    221444,0
65,"13.5508703, 78.50597",Bhavyas Children Hospital,R T C Bus Stand Madanpalle,Andhra Pradesh,Chittoor,517325,0,0
66,"13.5603491, 78.5036065",Chandra Mohan's Nursing Home,14/2A Ctm Road Beside Icici Bank Madanapalli,Andhra Pradesh,Chittoor,517325,08571    222167,0
67,"13.5603491, 78.5036065",Desai Hospital,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle",Andhra Pradesh,Chittoor,517325,0,0
68,"14.4656511, 78.8330438",Desai Hospital-Madanapalli,"No. 3-153-4-3-1, Near Rtc Bus Stand",Andhra Pradesh,Chittoor,517325,"08571    223144, 223257",0
69,"18.4328566, 79.1303578",Emergency Hospital,"Near R.T.C.Busstand,C.T.M.Road",Andhra Pradesh,Chittoor,517325,0,0
70,"13.217176, 79.1003289",Gupta Nursing Home,C.T.M.Road,Andhra Pradesh,Chittoor,517325,0,0
71,"13.5529488, 78.5086376",Kathasagaram Hospitals,"# 15-37, Burma St, C.T.M. Road",Andhra Pradesh,Chittoor,517325,0,0
72,"13.217176, 79.1003289",Leo Hospital,",,C.T.M.Road",Andhra Pradesh,Chittoor,517325,0,0
73,"13.5657237, 78.5066868",M.V.L Hospital,C.T.M Road(Opp State Bank Of India) Madanapalle,Andhra Pradesh,Chittoor,517325,0,0
74,"13.553374, 78.5065719",Madanapalle Hospital Pvt Ltd,"C.T.M Road, Madanapalle",Andhra Pradesh,Chittoor,517325,08571  223565,0
75,"30.3145962, 78.0357476",Popular Nursing Home,"Gandhi Road,,Gandhi Road",Andhra Pradesh,Chittoor,517325,0,0
76,"13.5603491, 78.5036065",Rama Orthopaedic Nursing Home,"Iv-5-3, Marpoori Colony, Madanapalle",Andhra Pradesh,Chittoor,517325,0,0
77,"13.553374, 78.5065719",Shantharam Hospital,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle",Andhra Pradesh,Chittoor,517325,0,0
78,,Siloam Eye Centre,"(A Unit Of Lvpei ), Bangalore Road, Madanpalle",Andhra Pradesh,Chittoor,517325,0,0
79,,Siloam Orthopaedic and Trauma Centre,"# 14-26, Old Andhra Bank Building,,C.T.M.Road",Andhra Pradesh,Chittoor,517325,0,0
80,"14.6818877, 77.6005911",Sri Kaveri Speciality Hospital,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle",Andhra Pradesh,Chittoor,517325,0,0
81,"13.5603491, 78.5036065",Usha Speciality Hospital,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle",Andhra Pradesh,Chittoor,517325,0,0
82,"13.5603491, 78.5036065",Viswa Orthopaedic Hospital,"D No 11-70, Patel Road Madanapalli",Andhra Pradesh,Chittoor,517325,08571    221646,0
83,,Saraswathi Maternity Nursing Home,"Borugulabatti, Thasildhar Street Newpet",Andhra Pradesh,Chittoor,517408,0,0
84,"12.7279579, 78.3512397",P E S Institute Of Medical Sciences and Research,Kuppam Palmaner Road,Andhra Pradesh,Chittoor,517425,"08570  256666, 256655",0
85,"12.7510218, 78.340196",Rathna Childrens and General Hospital,"Palace Road, Kuppam",Andhra Pradesh,Chittoor,517425,0,0
86,"12.7470314, 78.3330157",Sri Priya Nursing Home,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam",Andhra Pradesh,Chittoor,517425,08570    255136,0
87,"13.6403071, 79.4176391",Apollo Multispeciality Hospital,"D.No :10-15-189/I2, K.K. Layout, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
88,,Apollo Rural Hospitals,"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal",Andhra Pradesh,Chittoor,517501,"283220, 283221",0
89,"13.6320156, 79.4260025",Asalatha Medicare Pvt Lt,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501,0,0
90,"13.217176, 79.1003289",Balaji Institute Of Surgery Research And Rehabilit,Tirupti (B.I.R.R.D),Andhra Pradesh,Chittoor,517501,0,0
91,"13.6344095, 79.425573",Balaji Orthopaedic And Trauma Hospital,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati",Andhra Pradesh,Chittoor,517501,0877    2222700,0
92,"13.6338436, 79.4210045",Bhaskar Allergy and Chest Hospital,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
93,"13.6338782, 79.4195997",Clinic Nisha,"398A, Doddapuram Street, Tirupati",Andhra Pradesh,Chittoor,517501,2228761,0
94,"13.6244611, 79.4310052",Dbr And Sk Super Speciality Hospital,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road",Andhra Pradesh,Chittoor,517501,"0877    6667999, 6561981",0
95,"13.6287557, 79.4191795",Eye Care Centre and Contact Lens Clinic,Nehru Nagar Behind Jyothi Talkies Tirupati,Andhra Pradesh,Chittoor,517501,0,0
96,,Gayatri Hospital Tirupati,"# 10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",Andhra Pradesh,Chittoor,517501,2253714,0
97,"13.6361446, 79.4204532",Harshitha Hospital,"10-13-568,,Reddy and Reddy Colony",Andhra Pradesh,Chittoor,517501,0,0
98,,Lotus Emergency Hosptial,"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",Andhra Pradesh,Chittoor,517501,0877  2252962,0
99,"13.6781837, 79.352188",M S Hospital,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",Andhra Pradesh,Chittoor,517501,0877  228 2459,0
100,"13.6287557, 79.4191795",M.M Hospital,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
101,,M/S Sapthagiri Eye Care Centre,"20-5-746 F, Tirumala Bye Pass Road, Karlagunta",Andhra Pradesh,Chittoor,517501,2280488,0
102,"13.6302513, 79.4118237",Manohari Nursing Home,"548, R.R. Colony,Tirupati",Andhra Pradesh,Chittoor,517501,0,0
103,"13.6287557, 79.4191795",Meghana Hospital,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
104,,Mother Hospital,"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",Andhra Pradesh,Chittoor,517501,0877    2286112,0
105,"13.217176, 79.1003289",Navya Netralaya Eye Hospital,2-2-349 K.V. Layout,Andhra Pradesh,Chittoor,517501,0,0
106,"13.6390013, 79.4272041",Neelima Maternity Nursing Home,"18-2-246 , Road No-1 Abbanna Colony Tirupati",Andhra Pradesh,Chittoor,517501,0,0
107,"13.6287557, 79.4191795",Nirmala Hospitals,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati",Andhra Pradesh,Chittoor,517501,0,0
108,"13.6361446, 79.4204532",Om Children Surgical Superspeciality Centre,"10-13-486, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
109,"13.6287557, 79.4191795",Prameela Hospital,10 - 3 - 206 Kotakommala Street Tirupati,Andhra Pradesh,Chittoor,517501,0,0
110,"13.6338436, 79.4210045",Prashanth Hospital,"#: 410, Tilak Road Tilak Road Tirupati",Andhra Pradesh,Chittoor,517501,"0877    22454333, 2252466,",0
111,,Purna's Remedy Hospital - Tirupathi,"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupati",Andhra Pradesh,Chittoor,517501,3253250,0
112,"13.6244611, 79.4310052",Raghavendra Urological Super Speciality Hospital (Russh Hospital),"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501,"0877    2220487, 2227385, 2224725",0
113,"13.6361446, 79.4204532",Rama Nursing Home,"535, Reddy and Reddy Colony , Tirupati",Andhra Pradesh,Chittoor,517501,0,0
114,,Ramadevi Multi Super Speciality Hospital,"16-2-156, Sairam Street, Tirupathi",Andhra Pradesh,Chittoor,517501,0,0
115,"13.6365271, 79.4127143",Ramya Hospital,"-4-566, Nehru Nagar, Tirupathi, Chittoor",Andhra Pradesh,Chittoor,517501,0,0
116,"13.6287557, 79.4191795",Ravi Neuro and Emergency Hospital - Chittoor,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Andhra Pradesh,Chittoor,517501,2222369,0
117,"13.6361446, 79.4204532",Sakthi Medicals,"548, Reddy and Reddy Colony,Tirupati",Andhra Pradesh,Chittoor,517501,0,0
118,"13.6368739, 79.4144319",Shyamala Nursing Home,"101, Sarojinideavi Road, Tirupati",Andhra Pradesh,Chittoor,517501,2286522,0
119,"13.6157076, 79.4125828",Sree Emergency and Crticial Care Hospital,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
120,"13.6361446, 79.4204532",Sri Chakra Hospitals,"10-13-496, , Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
121,"23.0866456, 72.5630236",Sri Padmavathi Multi Speciality Hospital,"6-1-46, R.S.Gardens Tirupati",Andhra Pradesh,Chittoor,517501,0,0
122,"13.6388217, 79.4204627",Sri Ramadevi Multi Super Speciality Hospital,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati,Andhra Pradesh,Chittoor,517501,"0877    2287437, 2287156,",0
123,,Sri Sai Ortho Care,"6-2-105, Old Maternity Road, Beside Rajanna Park",Andhra Pradesh,Chittoor,517501,0,0
124,"13.6361446, 79.4204532",Sri Sai Sudha Hospitals,"521, Reddy and Reddy Colony, Chittor, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
125,"13.217176, 79.1003289",Sri Suraksha Hospital,Tirupati,Andhra Pradesh,Chittoor,517501,0,0
126,"13.217176, 79.1003289",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple,Andhra Pradesh,Chittoor,517501,2253322,0
127,"13.6287557, 79.4191795",Sri Venkateshwara Institute Of Medical Sciences,Tirupati,Andhra Pradesh,Chittoor,517501,0,0
128,"26.896961, 75.792554",Sri Venkateswara Hospitals,"No. 20-03-88G, Siva Jyothi Nagar",Andhra Pradesh,Chittoor,517501,0877 2281111,0
129,,Sri Vignesh Hospital,"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",Andhra Pradesh,Chittoor,517501,0,0
130,"13.6287557, 79.4191795",Srinivasa Super Speciality Hospital,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
131,"13.6361446, 79.4204532",Suguna Nursing Home,"515,Reddy Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
132,"13.6095995, 79.4489169",Sviss Hospital,"326,Nethaji Road,Tirupati",Andhra Pradesh,Chittoor,517501,6668633,0
133,"13.6287557, 79.4191795",Swaranamrutha Hospital,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Andhra Pradesh,Chittoor,517501,2286602,0
134,,Swarnamrutha Hospital,"Opp Bhavani Nagar Circle, Maternity Road",Andhra Pradesh,Chittoor,517501,0877  2286602,0
135,,Swetha Childrens Hospital,"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar , 2Nd Street",Andhra Pradesh,Chittoor,517501,2222228,0
136,"13.6361446, 79.4204532",Triveni Child Care Hospital,"525,Reddy  and Reddy Colony,Tirupathi",Andhra Pradesh,Chittoor,517501,0,0
137,,Vaishnavi Children Hospital,"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati",Andhra Pradesh,Chittoor,517501,0,0
138,,Vasan Healthcare Pvt Ltd,"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",Andhra Pradesh,Chittoor,517501,0877  2220552,0
139,"13.6358027, 79.420805",Venkataramana Heart And Maternity Hospital,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501,0877    2258183,0
140,"13.639101, 79.4177213",Vision Care Clinic,"6-2-88, Old Maternity Hospital Road, Tirupati",Andhra Pradesh,Chittoor,517501,0,0
141,"13.6335087, 79.4170539",Elite Hospital,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony",Andhra Pradesh,Chittoor,517502,0877  2251000,0
142,"13.217176, 79.1003289",Maha Hospitals,13-7-936/6 Tuda Road,Andhra Pradesh,Chittoor,517502,0877  2266601,0
143,"28.6779455, 77.3103012",Vennela Super Speciality Eye and Dental Hospital,"502,B, 1St Floor, Opp Sbi Kt Road",Andhra Pradesh,Chittoor,517502,2228266,0
144,,Radha Narayan Hospital For Women And Children,"19-4-395, Bairagipatteda North, Tirupati",Andhra Pradesh,Chittoor,517505,240522/41031,0
145,"13.6452591, 79.419089",Manasa Kidney Foundation,"K. T. Road, Tirupati",Andhra Pradesh,Chittoor,517507,0,0
146,"13.6370231, 79.4206271",Rushh Hospital,"V.V.Mahal Road, Tirupathi",Andhra Pradesh,Chittoor,517507,22227385,0
147,,S V Poly Clinic,"140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple",Andhra Pradesh,Chittoor,517507,"2286077,2287675  0",0
148,,Sneha Super Speciality Hospital,"Sarojini Devi Layout, Rupa Hospital Road, Tirupati",Andhra Pradesh,Chittoor,517507,0,0
149,"13.6287557, 79.4191795",Swarna E.N.T Super Speciality Hosptial,"6-1-12A, Beside Old Maternity Hospital, Tirupati",Andhra Pradesh,Chittoor,517507,0,0
150,"13.633255, 79.4552064",Swarnamurtha Hospital,"91,Old M.H.Road,1/1,Tirupathi",Andhra Pradesh,Chittoor,517507,0,0
151,"12.7686756, 75.2070644",Sri Sai Nursing Home,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur",Andhra Pradesh,Chittoor,517583,222765,0
152,"13.3200519, 79.585628",C.S.I. Hospital,Nagari-517590,Andhra Pradesh,Chittoor,517590,0,0
153,,Annapurna Hospital ( Ramarao Hospital),"# 6/420, Babu Agraharam,Babu Agraharam",Andhra Pradesh,Chittoor,517644,0,0
154,"13.7392101, 79.7119419",Chaitanya Childrens Hospital,"Door No-7/370, Nagarchipalem, Srikalahasti",Andhra Pradesh,Chittoor,517644,0,0
155,"13.217176, 79.1003289",Eswari Nursing Home,"# 7-723,Kothapet",Andhra Pradesh,Chittoor,517644,0,0
156,"13.217176, 79.1003289",Sai Kanthi Eye Hospital,Kothapet,Andhra Pradesh,Chittoor,517644,0,0
157,"22.5657131, 88.3557301",Vani Priya Hospital,"V R Temple Street, Nehru Road",Andhra Pradesh,Chittoor,517644,0,0
158,NA,Abhishek Kidney and General Hospital ( Kcm Hospital),"3/224, Upendra Complex, Christian Lane",Andhra Pradesh,Y.S.R.,516001,08562  250762  0,0
159,NA,Ashwini Childrens Hospital,"4/460, Nagarajupet, Near Dr. Thulasamma Hospital",Andhra Pradesh,Y.S.R.,516001,251699,0
160,"14.480391, 78.8340173",Balaji Nursing Home,"6/1565, Sankara Puram",Andhra Pradesh,Y.S.R.,516001,08562  247843,0
161,NA,Bharathi Hospital,"1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally",Andhra Pradesh,Y.S.R.,516001,0,0
162,NA,G. S. R. Heart Care Centre - Cuddapah,Opposite Old Municipal Office,Andhra Pradesh,Y.S.R.,516001,249478,0
163,"17.6651796, 75.8970483",Jyothi Nursing Home,3/374 Railway Station Road Railway Station Road,Andhra Pradesh,Y.S.R.,516001,08251    246975,0
164,"19.0266349, 72.8594614",K.C.M. Hospital,"#3/224, Upendra Complex",Andhra Pradesh,Y.S.R.,516001,242929,0
165,NA,Likhith Laparoscopic Centre,"2/402, R.S Road, Opposite Csi Church",Andhra Pradesh,Y.S.R.,516001,0,0
166,"14.4701485, 78.8297701",Palla Krishnaiah Memorial And Nursing Home,21/188 and 21/187 Christian Lane,Andhra Pradesh,Y.S.R.,516001,08562    246088,0
167,NA,Pasupuleti Nursing Home,"#4-370, Infront Of H P Gas Koti Reddy Street , Nagarajupeta",Andhra Pradesh,Y.S.R.,516001,0,0
168,NA,Priyatham Clinic,"Opp:Municipal Water Tank, Near Old Govt Hospital",Andhra Pradesh,Y.S.R.,516001,0,0
169,NA,Sita Lakshmi Nursing Home,"21/628, Salt Felt Road",Andhra Pradesh,Y.S.R.,516001,0,0
170,NA,Siva Yogi Childrens Hospital,"Beside Sri Rama Temple, Nagaraju Pet",Andhra Pradesh,Y.S.R.,516001,221729,0
171,"14.4701485, 78.8297701",Sri Krishna Sahithi Eye Hospital,3/137 Christian Lane Christian Lane,Andhra Pradesh,Y.S.R.,516001,08562    252844,0
172,"14.4783864, 78.8252721",Srija Rainbow Childrens Hospital,Madras Road,Andhra Pradesh,Y.S.R.,516001,0,0
173,NA,Srinivasa Nursing Home,"7/304, Holmbspet, Produttur (P.O.)",Andhra Pradesh,Y.S.R.,516001,0,0
174,"14.686981, 78.3909238",Tata Reddy Ramalinga Reddy Nursing Home,"17/48, Kapu Street, Jammalamadugu",Andhra Pradesh,Y.S.R.,516001,08560  271166,0
175,NA,Thulasamma Hospital,"4/110, Nagarajupet, Near Womens College",Andhra Pradesh,Y.S.R.,516001,0,0
176,NA,Tirumala Hospitals,"21/16, R.S.Road,Guntha Bazar, Near 7 Roads,OppositeNear Sri Devi Scan Centre",Andhra Pradesh,Y.S.R.,516001,0,0
177,NA,Vijaya Nursing Home,Prodatoor,Andhra Pradesh,Y.S.R.,516001,"253686, 252686",0
178,"14.4701485, 78.8297701",Vurimi Savitramma Cardiac Centre,# 3/225 Upendra Complex Christian Lane,Andhra Pradesh,Y.S.R.,516001,08562    252929,0
179,NA,Deepa Nursing Home,2/1115-1 Nehrunagar,Andhra Pradesh,Y.S.R.,516002,08562  245045  0,0
180,"14.480391, 78.8340173",Dr G R K R Multi Speciality Hospitals,"6/1414, Sankarapuram",Andhra Pradesh,Y.S.R.,516002,08562  224953,0
